,AAAU,SPY,ISF.L,ESS,EEM,FXE,BofA
2020-04-17,16.82,269.036072,569.40094,224.525101,33.066238,99.649727,1291.96
2020-04-20,17.030001,264.296143,572.495972,208.222015,32.646755,99.504265,1286.05
2020-04-21,16.82,256.27124,554.124939,205.544968,31.743959,99.54306,1269.97
2020-04-22,17.15,261.959076,568.003113,210.649368,32.610279,99.164864,1270.09
2020-04-23,17.299999,261.940338,573.394592,207.662491,32.491734,98.81575,1268.63
2020-04-24,17.23,265.591461,566.205872,207.972397,32.446133,99.08728,1262.53
2020-04-27,17.129999,269.420746,575.291687,216.97612,33.102718,99.242462,1261.55
2020-04-28,17.030001,268.181946,586.274353,213.007904,33.166553,99.271538,1263.15
2020-04-29,17.120001,275.202515,601.250488,214.522888,34.13319,99.630341,1268.68
2020-04-30,16.84,272.640137,580.882813,210.115692,33.412777,100.406128,1272.77
2020-05-01,16.959999,265.422485,566.405579,203.840637,32.209038,100.580666,1269.22
2020-05-04,17.01,266.15448,564.608459,208.557678,32.555573,99.824287,1267.26
2020-05-05,17.07,268.613586,574.692505,210.477234,32.737946,99.397614,1274.82
2020-05-06,16.84,266.792755,574.692505,207.783005,32.637646,98.883652,1276.31
2020-05-07,17.110001,270.012146,583.877991,214.385162,32.902096,99.213348,1279.23
2020-05-11,16.93,274.536163,584.477112,209.099945,33.376301,99.08728,1281.51
2020-05-12,16.98,269.06424,589.668945,197.892654,33.248623,99.387917,1287.56
